@relation 'ToWeka_sectionSegmentation'
@attribute m1 numeric
@attribute m5 numeric
@attribute m6 numeric
@attribute m7 numeric
@attribute m8 numeric
@attribute m9 numeric
@attribute m10 numeric
@attribute m13 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v4 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute vCent numeric
@attribute vFlat numeric
@attribute class  {tani,	non_tani,	}
@data
-755.548096,2.865345,23.009348,-14.654053,1.189402,4.903905,3.746568,-2.014130,10496.364258,945.139709,411.603973,141.424377,96.419449,0.000562,0.000246,tani
-826.228333,9.534766,17.549503,-7.224180,-1.340849,2.058531,1.891795,-2.350257,13252.905273,952.373230,269.238586,69.536156,74.981689,0.000526,0.000209,tani
-810.901184,8.449944,13.759045,-9.218531,-4.896993,1.909050,1.306113,-7.620831,9885.637695,695.116638,211.316010,76.409180,51.380486,0.000528,0.000273,tani
-794.002686,3.616640,14.699347,-10.304407,-2.809380,2.989793,-0.238675,-5.840616,8954.656250,793.919739,220.485855,109.565285,75.780968,0.000419,0.000295,tani
-815.304871,2.936698,23.221008,-10.473991,-1.900778,3.934210,-0.221989,-3.397665,12563.615234,783.570496,328.404022,119.362396,100.412254,0.000527,0.000336,tani
-791.096313,2.955458,17.188414,-10.009201,0.473261,1.355090,2.424338,-4.021188,10217.363281,866.926208,328.028168,149.642532,90.606010,0.000656,0.000336,tani
-826.773438,9.861096,16.812750,-8.395379,1.859807,4.266665,4.864945,-0.639094,12430.573242,1127.116943,481.867554,67.860878,55.935822,0.000703,0.000362,tani
-780.612915,2.994102,20.307055,-10.578340,0.605674,2.261354,-3.437405,-6.318325,8252.457031,942.673523,412.991089,91.811508,68.620964,0.000656,0.000417,tani
-805.925598,6.685258,15.795856,-11.192156,-2.296445,4.443824,5.873209,-4.828010,13214.412109,1123.437866,511.963745,82.692780,82.161469,0.000770,0.000424,tani
-818.546143,7.860452,15.437078,-9.615817,-1.003791,6.145422,0.968264,-1.634807,12206.518555,992.535828,336.466003,132.230469,71.392212,0.000688,0.000389,tani
-803.745483,6.974018,20.472458,-13.338773,-1.786818,6.792463,3.228545,-1.303347,9251.743164,841.931641,372.324463,147.504395,87.444008,0.000640,0.000280,tani
-800.394775,5.387830,15.034359,-8.255138,1.685983,4.235500,3.053187,-4.436587,12421.799805,1023.598022,412.585144,102.026367,77.542397,0.000670,0.000374,tani
-803.224243,7.152735,17.359404,-9.463482,-0.157056,2.827184,3.424946,-2.034417,11862.114258,1066.678955,445.059784,110.329834,117.645081,0.000664,0.000412,tani
-801.726990,4.413262,15.645164,-13.821214,-1.053690,3.902970,4.936011,-1.353522,13168.715820,844.115540,506.574158,132.893616,135.707504,0.000627,0.000258,tani
-798.368408,-0.753105,24.932222,-13.180525,-3.565290,8.741784,1.303324,0.442162,13157.580078,860.425232,539.530701,133.166885,62.892761,0.000592,0.000244,tani
-835.919434,7.884590,20.767874,-10.057405,-2.224328,8.033252,4.353600,3.687176,16823.197266,1562.503906,627.570557,72.952713,105.003166,0.000555,0.000274,tani
-852.018982,12.786520,21.067720,-7.138389,-2.264190,5.749042,7.910722,3.268619,16555.888672,1658.005493,237.958542,98.854767,99.090027,0.000561,0.000301,tani
-830.446777,7.092153,18.711792,-11.092338,-1.696010,8.272866,4.053120,-0.433230,15992.655273,1133.125122,430.711731,171.586655,107.329590,0.000667,0.000318,tani
-775.960693,0.410760,25.276663,-9.547826,-2.392263,3.977430,3.414786,-5.419981,11634.156250,1067.572144,860.551880,128.169571,140.905136,0.000669,0.000328,tani
-791.719177,-1.363646,26.148367,-14.758953,-2.068588,9.689208,2.269616,0.431264,11942.383789,1569.018188,683.835083,201.161453,148.317688,0.000815,0.000446,tani
-811.425781,-2.391232,26.415302,-13.283448,-5.125416,7.356344,3.665037,4.532282,14107.471680,1088.683228,623.608215,126.990089,126.842644,0.000501,0.000315,tani
-818.764038,2.593231,30.596022,-10.815609,-3.726696,14.213221,7.283513,4.920648,13824.184570,1668.135132,529.535767,133.528854,62.652603,0.000519,0.000255,tani
-838.659485,6.469485,24.488052,-13.170178,-2.120857,13.679586,4.564649,4.271873,13388.001953,1208.165527,601.199646,117.611122,111.527397,0.000469,0.000380,tani
-783.301941,5.039260,23.571754,-13.422652,1.634716,10.728210,2.877139,-2.482225,10737.686523,1294.574463,710.179443,185.290390,160.909943,0.000681,0.000301,tani
-794.334717,6.740736,22.688412,-12.138378,-1.338655,6.788651,3.035811,-8.517860,11379.562500,1129.560913,775.958740,173.032806,77.866364,0.000845,0.000374,tani
-782.421570,1.177115,23.954220,-14.016265,-1.402451,5.190229,3.408749,-6.569244,10367.304688,1183.592041,549.657776,120.196053,97.268318,0.000587,0.000338,tani
-841.494690,6.021325,24.500029,-12.762511,-3.508443,11.571237,2.170944,0.684620,13447.724609,1386.916382,550.295898,140.544342,94.657516,0.000644,0.000251,tani
-838.210022,5.481104,24.092100,-12.287872,-2.436391,10.988938,3.957036,5.254390,13060.523438,1146.267212,367.221436,133.214035,132.303543,0.000406,0.000221,tani
-800.871460,-1.148332,35.553349,-13.284463,-1.561615,11.476998,0.713541,0.421682,9266.914062,1613.640625,674.509949,162.741852,237.892166,0.000590,0.000291,tani
-786.422791,-2.283714,25.948647,-17.503241,0.276298,6.273969,-2.022352,-2.246226,8606.374023,1293.363525,561.970459,173.912994,130.023422,0.000749,0.000458,tani
-784.024536,-0.921837,30.129377,-14.035908,-2.626010,8.196849,-0.161551,-6.758662,7258.850098,1194.517822,575.391541,250.378098,124.250626,0.000532,0.000237,tani
-728.150513,-38.644871,42.168625,-40.963959,-23.961977,11.093324,-11.653190,-17.052519,2741.799072,703.242371,905.631958,180.746994,318.821594,0.000315,0.000093,tani
-733.966492,-30.601664,39.165791,-30.961605,-16.333649,10.655527,-6.859931,-15.829074,4857.457031,827.957031,617.876221,191.221939,370.302826,0.000195,0.000093,tani
-726.107117,-28.363600,32.924568,-22.141930,-33.278927,15.414032,-6.534597,-26.714758,1523.751343,419.834015,467.921936,215.434738,237.864578,0.000080,0.000040,tani
-782.669678,-2.239189,29.939528,-26.771790,-20.287703,25.126909,3.359188,-12.762783,7000.666016,617.119568,410.773102,166.106552,308.627502,0.000190,0.000153,tani
-721.188538,-22.996145,33.772736,-46.828842,-33.622459,23.689325,-6.466421,-26.632614,1354.192871,326.744202,398.660004,124.155121,164.140594,0.000152,0.000051,tani
-747.755066,-19.180773,41.711304,-33.525169,-24.254848,19.800747,2.966342,-13.711491,2611.597900,435.746704,428.223328,92.503525,160.658508,0.000127,0.000109,tani
-780.529785,-12.198080,32.050594,-23.179234,-19.363886,15.668192,-3.082805,-8.373363,8235.803711,937.055603,390.705872,145.086151,401.845032,0.000327,0.000270,tani
-827.054871,47.557182,-6.223565,-21.355139,-3.118496,-1.400629,-12.830203,2.718364,1679.959351,1304.009521,272.055023,38.465530,45.343662,0.001269,0.001197,tani
-815.608276,41.847282,-7.197114,-21.893221,-4.269144,1.811366,-6.853357,1.145757,1255.428833,885.731384,358.724518,34.650146,31.157595,0.000880,0.000669,tani
-842.206665,50.781143,-2.239021,-26.464916,-10.796448,-4.032106,-9.809718,2.237366,1185.180054,1056.405151,321.800964,41.317780,48.095982,0.001346,0.001020,tani
-764.082214,38.521252,-11.929340,-16.244370,-4.900708,1.485629,-4.261937,0.228307,1277.284668,505.210510,306.040771,32.174755,32.526672,0.000391,0.000295,tani
-828.875916,54.625397,-4.002346,-21.488827,-6.965898,-2.866089,-8.343040,4.059562,1328.571411,755.896790,296.396301,27.143463,48.102745,0.000923,0.000723,tani
-829.700989,43.827251,-11.368265,-21.669813,-4.851653,-2.910766,-12.600200,4.030573,859.410950,825.393799,278.866943,42.543694,34.443161,0.001079,0.000750,tani
-836.719666,48.774693,-5.030099,-25.213373,-8.557912,-4.372078,-14.886242,6.680853,1119.412842,815.691406,242.197189,30.353613,40.883297,0.001079,0.000815,tani
-830.516113,45.456379,-13.667200,-25.204479,-6.005242,-0.946212,-7.244260,3.695486,1059.057861,697.349792,252.715988,38.310890,57.942081,0.000932,0.000713,tani
-823.042358,54.784142,0.233435,-18.848003,-6.472776,-4.686553,-11.508237,5.733676,1090.907837,768.476746,241.059631,35.798061,27.529928,0.000934,0.000695,tani
-820.549866,35.309429,-14.659855,-21.878822,-6.574326,-3.468671,-7.918091,2.728148,1223.398071,674.458679,240.877762,42.083279,43.509087,0.000817,0.000616,tani
-823.470703,30.628483,-12.324718,-24.737995,-12.693675,-4.411468,-7.101000,3.969377,1454.614136,463.331573,127.438278,40.409260,44.456974,0.000501,0.000453,tani
-816.485596,42.431652,-9.609852,-24.103355,-9.078410,0.419460,-2.168800,-0.305752,1310.265137,770.399719,187.059433,43.939014,53.783035,0.001064,0.000731,tani
-806.573853,47.922630,-4.008491,-18.424278,-9.930632,-6.125852,-5.426444,0.431722,711.324402,379.662384,259.622467,48.294056,40.620815,0.000629,0.000425,tani
-810.554443,48.849247,-1.540265,-23.784586,-17.630064,-6.903214,-4.554621,1.327383,588.938232,568.256897,214.913376,54.972775,65.518127,0.000676,0.000422,tani
-803.334656,32.770767,-8.523992,-20.492781,-12.026577,-2.830556,-6.865275,3.773096,1120.900391,616.432007,281.117828,45.606331,44.508801,0.000808,0.000586,tani
-794.662048,45.384029,-8.345304,-19.411238,-6.569243,-0.601906,-4.088475,-2.827989,903.544189,414.691315,244.542007,58.417625,71.698616,0.000718,0.000563,tani
-806.623169,44.240288,-0.234496,-17.388042,-10.018493,-2.908294,-6.370172,3.143736,2047.620361,990.903748,274.347504,36.534210,48.202740,0.001320,0.001010,tani
-796.341431,42.267490,-13.350028,-20.822227,-8.189484,-1.737428,-3.606743,0.526869,1059.715698,511.218292,270.056213,39.928852,61.417625,0.000670,0.000479,tani
-804.298584,45.251595,-1.252325,-16.886757,-7.942482,-6.012533,-11.271521,4.118281,1538.563965,676.819702,314.668854,50.865005,47.535236,0.000904,0.000643,tani
-792.060608,38.915157,-11.596512,-20.037256,-7.621187,-1.125715,-4.833659,1.275795,1245.733765,629.085205,254.999084,37.646503,37.930000,0.000865,0.000602,tani
-810.434326,51.860081,0.293446,-23.055176,-14.584663,-5.434396,-8.200168,4.451717,752.235901,402.820679,192.203766,30.928337,47.798103,0.000568,0.000403,tani
-782.240723,28.114031,-6.892034,-15.096424,-4.799690,2.681573,-5.233387,3.177378,978.081482,503.100616,360.164673,39.799801,72.763557,0.000747,0.000520,tani
-811.502258,56.472233,1.670082,-21.273188,-9.013918,-0.060708,-4.028172,-2.028855,1202.702515,599.231812,281.820007,62.313339,49.236652,0.001036,0.000789,tani
-818.266602,43.359295,-3.941974,-17.857960,-3.992480,1.567038,-5.381085,1.871420,1588.546997,687.316528,233.723251,46.834927,33.925098,0.001070,0.000807,tani
-817.797058,33.328697,-19.841288,-26.031982,-3.806222,3.027239,-5.221626,1.006206,1057.686523,700.806946,128.036621,54.107628,40.738098,0.000701,0.000545,tani
-813.920044,49.449539,1.851438,-28.627451,-15.090117,-0.405501,-6.206122,-0.106392,836.190430,478.049683,221.722260,56.464512,53.089924,0.000709,0.000528,tani
-805.132385,33.147854,-12.556792,-20.988409,-5.303646,1.730977,-2.044448,-2.011737,1408.728271,872.670410,246.850647,76.404907,54.181396,0.001010,0.000752,tani
-843.508057,44.942253,-10.363141,-25.612921,-6.820799,-4.921132,-5.284745,2.958659,952.803101,229.404526,124.478363,47.044376,28.960476,0.000232,0.000488,tani
-815.394409,29.852777,-16.813204,-23.051275,-10.281379,-1.391899,-7.562419,2.637044,1035.577637,290.287323,120.957855,49.004677,46.379276,0.000284,0.000285,tani
-799.735291,24.107862,-27.137274,-25.514050,-10.515900,1.427767,-1.873844,5.162229,1136.468750,314.291443,119.050575,30.833414,33.606991,0.000304,0.000320,tani
-784.411377,48.212898,-9.250629,-29.586775,-11.606579,0.197070,-2.891448,-3.093919,1335.387695,711.752808,200.158295,46.283783,45.272163,0.000720,0.000510,tani
-796.620850,35.220612,-11.209160,-20.313160,-10.504724,-6.773120,-8.399278,4.596488,1219.198364,735.076172,373.877960,48.234707,41.780205,0.000707,0.000485,tani
-764.891602,13.633366,-21.532732,-10.469475,-0.875502,1.002832,-8.824640,5.881095,1371.160278,749.673157,282.589722,44.457756,34.665272,0.000823,0.000595,tani
-775.100281,31.109241,-26.063063,-21.165653,-5.749588,0.895545,-0.455385,3.102562,1560.174561,560.696899,170.001419,36.926861,28.565472,0.000585,0.000450,tani
-788.316101,51.744343,-7.537954,-31.298967,-14.723610,-6.221411,-8.088017,2.934922,1941.554321,560.266846,210.169830,51.860844,39.546970,0.000610,0.000557,tani
-775.771118,21.824987,-15.925413,-19.090919,-5.431045,-2.029431,-10.173013,3.509040,1421.574463,433.394531,303.566101,39.906883,50.532913,0.000535,0.000439,tani
-762.453796,34.645008,-24.929218,-17.420908,-6.284310,1.163449,0.184625,2.052467,1873.517334,841.455811,231.886719,29.106560,35.733253,0.000943,0.000583,tani
-778.931030,49.990108,-8.489751,-29.554199,-18.083576,-8.000674,-7.458310,3.265602,1304.500122,414.218597,362.530151,76.761284,46.690987,0.000397,0.000253,tani
-753.346497,16.094168,-17.076466,-14.434237,-8.229367,-2.017712,-8.487586,5.441444,1500.165161,576.288513,585.153381,25.478878,25.768347,0.000503,0.000349,tani
-783.447205,40.405506,-21.894005,-27.720980,-8.763838,-0.101281,0.615484,1.851922,1656.704712,608.419556,308.551758,26.812574,32.039894,0.000617,0.000486,tani
-806.307190,40.275597,-9.843326,-29.418825,-11.065882,-0.721349,-8.630554,-0.868627,2937.074463,1077.889038,289.645264,49.765049,69.052811,0.001127,0.000900,tani
-739.238708,13.936643,-14.038161,-14.934308,-9.860998,-0.289188,-8.792008,3.199257,1418.198364,560.936218,432.675873,34.371605,35.300537,0.000458,0.000299,tani
-780.194336,32.579762,-33.345158,-23.001196,-5.822753,0.631008,-3.533660,-0.635195,1764.499146,583.103027,306.545837,49.145760,33.841019,0.000547,0.000555,tani
-804.563477,47.887249,-8.500645,-26.754751,-11.692353,-1.152166,-6.584132,-1.598255,1176.723389,397.023682,261.836487,59.258926,45.632629,0.000486,0.000359,tani
-769.061218,21.966459,-15.653646,-16.022097,-6.569464,3.551995,-6.285947,1.881763,4002.231689,1207.943604,337.634216,47.715088,60.021805,0.001231,0.000988,tani
-772.695129,30.352175,-28.652500,-24.163452,-11.149817,-1.198272,3.192151,-0.213625,1557.502319,688.277649,178.616516,49.964901,44.656002,0.000635,0.000484,tani
-811.014648,43.218735,-6.259876,-32.768990,-23.625471,-6.135297,-6.992349,1.144499,927.254272,410.415375,164.525528,50.888371,97.434418,0.000478,0.000415,tani
-755.578308,13.476532,-16.539812,-17.047499,-14.204640,-1.394090,-6.550531,5.911632,1550.308228,696.555115,746.704773,58.479095,70.395653,0.000610,0.000409,tani
-767.559387,34.974957,-21.348671,-18.454062,-6.424741,2.352360,-5.769881,5.424461,1418.667603,630.245850,173.444794,29.482477,28.583561,0.000652,0.000433,tani
-768.021118,50.992886,-8.637549,-29.301611,-12.686707,-0.883917,-5.350873,1.792362,1617.050903,639.618103,206.644302,55.357876,48.000179,0.000609,0.000427,tani
-763.565857,34.271507,-3.808370,-19.887678,-17.988647,-2.595618,-6.570549,3.853708,1337.070801,667.536682,279.170349,51.449207,91.832199,0.000727,0.000496,tani
-788.715515,17.270849,-24.377161,-17.703571,-6.422686,1.846851,-5.803180,4.409173,2101.719482,560.991943,317.358246,44.011951,56.263062,0.000676,0.000596,tani
-782.353149,29.388689,-27.934587,-28.034636,-11.978329,-1.931164,-5.397254,4.989012,1685.361694,473.559692,296.753082,52.733219,50.575581,0.000470,0.000492,tani
-758.866394,45.011623,-19.103477,-29.473206,-12.375466,-1.079222,1.591586,0.707956,1773.707520,733.922852,281.439911,43.095913,60.878567,0.000672,0.000480,tani
-796.631958,49.418457,-1.099351,-32.300835,-18.778486,-1.960889,-4.280601,-0.416788,1050.570435,587.223389,221.135071,50.488720,46.815136,0.000648,0.000451,tani
-753.312439,26.576622,-11.724261,-20.852825,-12.851295,-1.590649,-6.460684,-0.165196,2956.804688,730.451965,324.822113,56.530586,41.773010,0.000665,0.000546,tani
-756.643433,22.235546,-20.366169,-18.046345,-8.855001,2.976962,-3.803023,2.199216,1738.851807,676.533020,331.617035,53.460358,46.816387,0.000681,0.000529,tani
-744.592834,26.041906,-29.781853,-20.186655,-10.825681,4.118969,-1.272258,-0.834185,1187.689453,397.516602,307.568268,53.730244,55.897942,0.000340,0.000206,tani
-756.926575,39.783993,-22.228540,-29.291292,-10.550344,-1.564460,1.084103,0.208358,1274.733276,480.196808,262.394440,42.600990,48.853291,0.000392,0.000260,tani
-787.771973,39.975086,-27.836475,-36.811970,-10.490044,-3.483704,-1.621868,-1.634608,1486.594116,760.061462,188.929031,56.120983,45.458897,0.000740,0.000563,tani
-768.417664,43.594795,-10.057686,-29.685303,-22.829706,-3.200170,-4.374115,-1.834936,1320.359009,767.984985,222.972885,67.860077,49.033794,0.000677,0.000455,tani
-736.270203,9.500114,-20.827614,-10.964631,-8.980655,2.287162,-3.190867,3.144153,1896.851074,847.984863,300.643158,39.841942,54.053631,0.000873,0.000574,tani
-755.273438,24.954184,-31.483809,-19.944191,-7.698452,1.149241,-3.756934,0.542991,2256.188965,978.133728,272.463867,47.829376,42.511089,0.001010,0.000700,tani
-788.629211,35.908314,-25.314617,-30.246342,-9.088227,-2.844613,-1.623140,-0.323881,1944.696411,597.935852,179.432907,48.730156,45.628002,0.000502,0.000539,tani
-767.006775,51.982388,-19.389107,-26.623232,-3.167417,-4.143983,-3.526865,-0.976009,2108.952148,903.427307,325.051025,43.646648,29.200758,0.000989,0.000668,tani
-788.382935,52.269436,-5.027236,-30.952890,-14.095860,-0.706411,-3.857024,-0.566748,1369.537720,745.364380,190.371933,58.450871,39.285965,0.000794,0.000514,tani
-799.532410,39.839756,-4.350420,-21.729376,-17.009945,-3.816329,-6.513188,6.039181,1064.391846,545.095276,453.548950,53.181259,53.816708,0.000764,0.000554,tani
-793.737976,15.860835,-20.971273,-20.086821,-10.727447,0.193965,-8.297699,7.197995,1092.155518,319.355347,130.311111,24.377718,45.565765,0.000369,0.000335,tani
-786.424377,18.009535,-27.174627,-21.869938,-14.182666,-1.213362,-6.090907,4.682289,1812.289551,481.224274,192.878525,31.155222,48.975620,0.000473,0.000446,tani
-747.557007,41.289211,-26.410797,-21.184309,-6.168802,2.608216,3.812475,-1.246655,2007.038574,670.225891,259.787018,35.305302,40.141819,0.000571,0.000349,tani
-781.061462,49.224377,-17.464872,-25.683298,-6.679928,-0.742740,-0.765551,4.615309,1701.651489,684.012268,172.623352,33.721622,44.044510,0.000697,0.000509,tani
-764.186951,48.841808,-4.737185,-33.415497,-17.705904,1.472381,-5.013737,-1.527633,1877.127686,856.648621,335.112244,42.439175,38.389633,0.000652,0.000444,tani
-762.179504,41.842613,-5.555087,-19.364182,-16.694603,-3.746279,-1.509735,5.058960,2378.310303,930.271973,285.765076,48.732750,55.711849,0.000760,0.000536,tani
-730.041016,8.208084,-19.957411,-9.466057,-3.571704,-0.887838,-9.993958,4.021146,1833.634399,511.291473,380.470367,41.428082,34.055004,0.000518,0.000357,tani
-733.606934,14.578876,-31.053030,-15.286559,-7.570416,2.146826,-6.348453,2.649530,2626.754395,901.334351,426.040497,32.779110,40.461796,0.000735,0.000576,tani
-736.463989,18.220148,-32.324715,-17.670626,-10.326250,2.561934,-2.122565,2.203379,2355.730957,954.194763,164.848770,32.086071,29.601133,0.000886,0.000599,tani
-727.225769,17.578562,-24.463129,-12.007524,-5.014539,7.508613,-6.303330,5.334342,1241.317139,471.096680,399.144440,31.451033,57.954666,0.000384,0.000167,tani
-776.775208,19.248976,-33.263481,-19.736589,-7.614630,1.924483,-5.800407,3.145192,2090.580322,691.663269,138.804016,60.055168,38.212963,0.000686,0.000537,tani
-715.863281,19.138800,-29.181963,-13.351027,-8.722479,4.551326,-1.510716,0.352980,1067.949219,273.074799,330.991730,29.983873,39.053757,0.000306,0.000140,tani
-767.934814,8.540642,-35.233521,-16.933195,-3.694018,2.776860,-10.370615,0.205188,2314.571777,782.452209,242.932419,40.537540,52.122009,0.000762,0.000591,tani
-723.378540,8.304193,-29.416117,-12.498644,-5.082403,4.997523,-7.275852,3.698201,1895.936890,479.775360,332.398407,36.752815,53.602314,0.000474,0.000305,tani
-759.406982,13.293095,-31.204460,-18.496281,-10.837371,2.710913,-6.029118,3.875359,2063.585938,860.539124,247.370728,43.359180,37.291611,0.000913,0.000675,tani
-716.954468,9.577890,-18.655638,-12.017741,-6.819140,2.828909,-7.056279,3.443401,1574.242188,276.701477,264.845612,42.809113,37.690388,0.000261,0.000173,tani
-765.619019,20.716619,-18.974382,-13.719563,-3.046086,-1.022239,-8.141285,5.632155,1314.822876,603.139954,448.681885,40.556225,40.188648,0.000759,0.000576,tani
-768.340271,18.678463,-18.573652,-14.111587,-4.477071,-0.147869,-10.277840,7.555998,1246.948975,717.102112,240.778091,61.883026,67.971077,0.000869,0.000555,tani
